No.,Bandpass,Measurement,Unc High,Unc Low,Unit,Frequency (Hz),Flux Density,FD Unc High,FD Unc Low,FD Upper Limit,FD Lower Limit,Flux,F Unc High,F Unc Low,F Upper Limit,F Lower Limit,Telescope,Instrument,Frequency,Freq. Unit,Aperature Type,Reference
1,0.01-1 TeV (Fermi),7.96e-13,3.43e-13,3.43e-13,erg/cm^2/s,1.22000004571812e+26,6.5245899194328e-16,2.81147530447921e-16,2.81147530447921e-16,,,79600000000.0,34300000000.0,34300000000.0,,,Fermi,LAT,0.51,TeV,from fitting to map,2017ApJS..232...18A
2,0.1-100 GeV (Fermi),5.7e-12,1.2e-12,1.2e-12,erg/cm^2/s,1.20999999658047e+25,4.71074381496573e-14,9.91735539992785e-15,9.91735539992785e-15,,,570000000000.0,120000000000.0,120000000000.0,,,Fermi,LAT,50.05,GeV,modelled datum,2012ApJS..199...31N
3,0.1-100 GeV (Fermi),7e-12,9e-13,9e-13,erg/cm^2/s,1.20999999658047e+25,5.78512398329124e-14,7.43801654994589e-24,7.43801654994589e-24,,,700000000000.0,90.0,90.0,,,Fermi,LAT,50.05,GeV,from fitting to map,2015ApJS..218...23A
4,14-195 keV (Swift),2.06e-10,,,erg/cm^2/s,2.53000000496374e+19,8.14229247414379e-07,,,,,20600000000000.0,,,,,Swift,BAT,104.5,keV,modelled datum,2017ApJS..233...17R
5,14-195 keV (Swift),3.79e-11,3.567e-11,3.567e-11,erg/cm^2/s,2.53000000496374e+19,1.49802371247597e-07,1.40988142015878e-07,1.40988142015878e-07,,,3790000000000.0,3567000000000.0,3567000000000.0,,,Swift,BAT,104.5,keV,from fitting to map,2018ApJS..235....4O
6,14-195 keV (Swift),3.51e-11,,,erg/cm^2/s,2.53000000496374e+19,1.38735177593421e-07,,,,,3510000000000.0,,,,,Swift,BAT,104.5,keV,modelled datum,2017ApJS..233...17R
7,14-195 keV (Swift),3.72e-11,5.3e-12,5.3e-12,erg/cm^2/s,2.5300000049637e+19,1.47035572834055e-07,2.09486165596907e-08,2.09486165596907e-08,,,3720000000000.0,530000000000.0,530000000000.0,,,Swift,BAT,104.5,keV,flux integrated from map or image,2010ApJS..186..378T
8,15-150 keV (Swift),2.7e-11,5.4e-12,5.4e-12,erg/cm^2/s,1.9899999378467e+19,1.35678396197417e-07,2.71356792394834e-08,2.71356792394834e-08,,,2700000000000.0,540000000000.0,540000000000.0,,,Swift,BAT,82.5,keV,modelled datum,2010A&A...524A..64C
9,14-150 keV (Swift),1.803e-10,,,erg/cm^2/s,1.98000009949437e+19,9.10606014848398e-07,,,,,18030000000000.0,,,,,Swift,BAT,82.0,keV,modelled datum,2017ApJS..233...17R
10,40-100 keV INTEGRAL,1.66e-11,4.8e-12,4.8e-12,erg/cm^2/s,1.68999995e+19,9.82248549770667e-08,2.84023677042121e-08,2.84023677042121e-08,,,1660000000000.0,480000000000.0,480000000000.0,,,INTEGRAL,JEM-X,70.0,keV,flux integrated from map or image,2006ApJ...638..642B
11,40-100 keV INTEGRAL,1.9,0.4,0.4,mCrab,1.68999995e+19,1.05917162896957e-07,2.22958586478065e-08,2.22958586478065e-08,,,1790000000000.0,376800000000.0,376800000000.0,,,INTEGRAL,IBIS,70.0,keV,flux integrated from map or image,2007ApJS..170..175B
12,40-100 keV INTEGRAL,1.27e-11,,,erg/cm^2/s,1.6899999494266e+19,7.51479312428914e-08,,,,,1270000000000.0,,,,,INTEGRAL,"IBI/ISGRI, JEM-X, OMC",70.0,keV,modelled datum,2009A&A...505..417B
13,20-100 keV INTEGRAL,3.001e-11,,,erg/cm^2/s,1.4499999806808e+19,2.06965519998902e-07,,,,,3001000000000.0,,,,,INTEGRAL,IBIS,60.0,keV,flux integrated from map or image,2009MNRAS.399..944M
