No.,Bandpass,Measurement,Unc High,Unc Low,Unit,Frequency (Hz),Flux Density,FD Unc High,FD Unc Low,FD Upper Limit,FD Lower Limit,Flux,F Unc High,F Unc Low,F Upper Limit,F Lower Limit,Telescope,Instrument,Frequency,Freq. Unit,Aperature Type,Reference
1,0.2-10 keV (Chandra),2.11e-13,,,erg/cm^2/s,1.23000002e+18,1.7154471265781e-08,,,,,21100000000.0,,,,,Chandra,ACIS,5.1,keV,flux integrated from map or image,2007A&A...468..129T
2,0.3-8 keV (Chandra),9.44e-14,,,erg/cm^2/s,9.9999998430675e+17,9.44000014814428e-09,,,,,9440000000.0,,,,,Chandra,"ACIS-S, ACIS-I",4.15,keV,flux integrated from map or image,2011ApJS..192...10L
3,0.3-8 keV (Chandra),7.65e-14,,,erg/cm^2/s,9.99999984306749e+17,7.65000012005337e-09,,,,,7650000000.0,,,,,Chandra,"ACIS-I, ACIS-S",4.15,keV,flux integrated from map or image,2016ApJS..224...40W
4,2-7 keV Chandra,1.4164e-14,2.6096e-15,2.6096e-15,erg/cm^2/s,9.18835911992269e+17,1.54150236993819e-09,2.84016821678598e-10,2.84016821678598e-10,,,1416387735.9204,260964855.3682,260964855.3682,,,Chandra,"ACIS, HRC-I",3.8,keV,flux in fixed aperture,2020CSC...C2..0000:
5,2-7 keV Chandra,1.4413e-14,2.8446e-15,2.8446e-15,erg/cm^2/s,9.18835911992269e+17,1.56860293626141e-09,3.09592684788417e-10,3.09592684788417e-10,,,1441288709.4935,284464876.8737,284464876.8737,,,Chandra,"ACIS, HRC-I",3.8,keV,from fitting to map,2020CSC...C2..0000:
6,2-7 keV Chandra,1.6921e-14,3.461e-15,3.461e-15,erg/cm^2/s,9.18835911992269e+17,1.8415344619884e-09,3.76677503588597e-10,3.76677503588597e-10,,,1692067996.8463,346104817.5368,346104817.5368,,,Chandra,"ACIS, HRC-I",3.8,keV,flux in fixed aperture,2020CSC...C2..0000:
7,2-7 keV Chandra,1.5227e-14,3.4038e-15,3.4038e-15,erg/cm^2/s,9.18835911992269e+17,1.6572435802419e-09,3.704426826423e-10,3.704426826423e-10,,,1522734916.4449,340376040.1465,340376040.1465,,,Chandra,"ACIS, HRC-I",3.8,keV,from fitting to map,2020CSC...C2..0000:
8,0.5-7 keV Chandra,2.5062e-14,2.6102e-15,2.6102e-15,erg/cm^2/s,5.56137525679531e+17,4.50642700550344e-09,4.69343485354574e-10,4.69343485354574e-10,,,2506193164.4961,261019524.6389,261019524.6389,,,Chandra,"ACIS, HRC-I",2.3,keV,from fitting to map,2020CSC...C2..0000:
9,0.5-7 keV Chandra,2.8575e-14,2.8855e-15,2.8855e-15,erg/cm^2/s,5.56137525679531e+17,5.13809967299779e-09,5.18839829827941e-10,5.18839829827941e-10,,,2857490038.8358,288546299.1845,288546299.1845,,,Chandra,"ACIS, HRC-I",2.3,keV,flux in fixed aperture,2020CSC...C2..0000:
10,0.5-7 keV Chandra,2.4092e-14,2.2237e-15,2.2237e-15,erg/cm^2/s,5.56137525679531e+17,4.33202205868154e-09,3.99846991352528e-10,3.99846991352528e-10,,,2409200028.9043,222369916.4212,222369916.4212,,,Chandra,"ACIS, HRC-I",2.3,keV,flux in fixed aperture,2020CSC...C2..0000:
