No.,Bandpass,Measurement,Unc High,Unc Low,Unit,Frequency (Hz),Flux Density,FD Unc High,FD Unc Low,FD Upper Limit,FD Lower Limit,Flux,F Unc High,F Unc Low,F Upper Limit,F Lower Limit,Telescope,Instrument,Frequency,Freq. Unit,Aperature Type,Reference
1,B_J,14.8821,,,mag,640999978000000.0,0.004403,,,,,2822322903134.0,,,,,UKST,Photographic plates,4680.0,A,flux in fixed aperture,2005MNRAS.361...34D
2,R,14.2693,,,mag,468000004000000.0,0.006037,,,,,2825316024148.0,,,,,UKST,Photographic plates,6400.0,A,flux in fixed aperture,2005MNRAS.361...34D
3,I,13.7,,,mag,378999994000000.0,0.008444,,,,,3200275949336.0,,,,,UKST,Photographic plates,7900.0,A,flux in fixed aperture,2005MNRAS.361...34D
4,J (2MASS/CTIO),12.744,0.013,0.013,mag,242746929554656.0,0.0127317562974143,0.000152442951741909,0.000152442951741909,,,3090594749035.48,37005058467.597,37005058467.597,,,1.3m,256x256 NICMOS3,1.235,microns,flux in fixed aperture,2006AJ....131.1163S
5,J (2MASS/CTIO),13.805,0.145,0.145,mag,242746929554656.0,0.0047916856263894,0.000639929305831008,0.000639929305831008,,,1163166973197.2,155340874122.52,155340874122.52,,,1.3m,256x256 NICMOS3,1.235,microns,flux in fixed aperture,2006AJ....131.1163S
6,J (IRSF),10.856,0.02,0.02,mag,240000004259840.0,0.07246,0.001335,0.001335,,,17390400308668.0,320400005686.886,320400005686.886,,,IRSF 1.4m,SIRIUS,1.25,microns,flux in fixed aperture,2016MNRAS.462.3386S
7,J,10.821,0.032,0.032,mag,240000004000000.0,0.074738,0.0022355,0.0022355,,,17937120298952.0,536520008942.0,536520008942.0,,,1.3m,256x256 NICMOS3,1.25,microns,flux in fixed aperture,20032MASX.C.......:
8,J,10.773,0.032,0.032,mag,240000004000000.0,0.078117,0.0023366,0.0023366,,,18748080312468.0,560784009346.4,560784009346.4,,,1.3m,256x256 NICMOS3,1.25,microns,flux in fixed aperture,20032MASX.C.......:
9,J_14arcsec (2MASS),12.058,0.014,0.014,mag,240000004000000.0,0.023919,0.00031042,0.00031042,,,5740560095676.0,74500801241.68,74500801241.68,,,1.3m,256x256 NICMOS3,1.25,microns,flux in fixed aperture,20032MASX.C.......:
10,H (IRSF),9.817,0.02,0.02,mag,184000006062080.0,0.1212,0.002233,0.002233,,,22300800734724.1,410872013536.625,410872013536.625,,,IRSF 1.4m,SIRIUS,1.63,microns,flux in fixed aperture,2016MNRAS.462.3386S
